Track Name,Artist Name(s),Release Date,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
Take It Off,"FISHER,Aatig",2023-04-21,194604,0,0.883,0.706,1,-6.609,1,0.201,0.000509,0.265,0.363,0.595,127.015,4
Kill Bill,SZA,2022-12-08,153946,86,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
Faded,Vindata,2022-05-13,277500,14,0.776,0.87,11,-6.989,0,0.0633,0.00143,0.0723,0.0945,0.232,119.976,4
Orange Dreamer,"Ay Wing,Chuuwee,Shuko",2019-08-23,192533,43,0.705,0.493,10,-10.758,0,0.224,0.379,0.00165,0.112,0.513,90.999,4
Sad Nebula,Ferdous,2023-02-24,143181,1,0.663,0.546,9,-9.66,0,0.214,0.355,0.0615,0.117,0.438,176.016,4
If Only You,"obli,Aria Pullman",2021-12-02,222158,33,0.752,0.594,1,-7.84,1,0.047,0.557,0.887,0.107,0.581,120.987,4
"Freed From Desire - prod. Molella, Phil Jay","Gala,Molella,Phil Jay",1997-11-17,213394,78,0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,4
3 Malas,BADDIES ONLY,2023-04-14,95039,65,0.794,0.806,10,-8.37,1,0.0562,0.000435,0.65,0.102,0.385,124.983,4
Semi-Charmed Life,Third Eye Blind,1997-04-08,268360,75,0.64,0.864,7,-6.576,1,0.0314,0.00832,0,0.123,0.701,102.026,4
The Visitors,ABBA,1981,347706,48,0.626,0.44,2,-15.532,1,0.0305,0.0821,0.000604,0.0659,0.727,131.175,4
MONEY ON THE DASH - SPED UP,"Elley Duhé,Whethan",2023-01-20,116465,80,0.777,0.816,2,-7.01,0,0.189,0.0324,0.0000794,0.138,0.516,150.09,4
UNTZ [NYC Rage Fest],"Eva Shaw,TyriqueOrDie",2023-04-21,236065,22,0.817,0.673,1,-7.685,1,0.0691,0.0821,0.0000465,0.389,0.239,121.987,4
Only If,Night Tales,2021-06-04,160000,62,0.695,0.746,1,-8.322,0,0.0426,0.0843,0.0501,0.0949,0.581,121.968,4
Demon Slayer,"JG,WESTSIDE BOOGIE",2023-04-14,167472,26,0.718,0.547,2,-8.918,0,0.331,0.303,0,0.112,0.601,75.913,4
On the Promenade (George Clanton Remix),"FM Skyline,George Clanton",2022-08-05,196956,27,0.564,0.864,9,-7.399,0,0.0359,0.000241,0.771,0.64,0.362,91.994,4
Sponge Bath,Xavy Rusan,2022-06-03,174666,20,0.765,0.579,0,-9.668,0,0.0604,0.0132,0.0000023,0.155,0.697,89.997,4
Iris,Ekonovah,2021-02-09,159421,28,0.881,0.577,4,-7.549,0,0.281,0.43,0.211,0.115,0.403,122.02,4
Moon Groove,Noizu,2022-06-17,169218,35,0.784,0.878,2,-4.847,1,0.0572,0.00572,0.388,0.628,0.491,127.973,4
For Our Lives,VAEJA,2020-11-13,181333,22,0.591,0.487,8,-10.229,0,0.0408,0.574,0.973,0.0853,0.112,89.992,4
MINDDD,"pluko,Reo Cragun",2022-09-29,121681,21,0.728,0.734,6,-5.368,1,0.0608,0.0102,0.0000211,0.132,0.439,145.011,4
Voyager,Daft Punk,2001-03-12,227866,61,0.669,0.743,7,-11.488,1,0.0494,0.288,0.805,0.309,0.28,119.881,4
Stand By Me,Ben E. King,1962-08-20,180055,77,0.65,0.306,9,-9.443,1,0.0393,0.57,0.00000707,0.0707,0.605,118.068,4
Fortunate Son,Creedence Clearwater Revival,1969-11-02,140773,85,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
Can't Look Away,Lucch,2022-06-10,140000,38,0.753,0.532,3,-7.601,0,0.0412,0.442,0.39,0.296,0.396,126.069,4
Kiss It Better - KAYTRANADA Edition,Rihanna,2016-06-01,325306,49,0.854,0.498,11,-7.922,0,0.332,0.0229,0.000212,0.3,0.343,108.049,4
At the Bay,"The Silhouettes Project,Bel Cobain,Lex Amor,illiterate",2020-12-11,140973,54,0.384,0.233,4,-16.74,1,0.155,0.841,0.00616,0.375,0.0928,73.158,4
Family Tree,Kenny Beats,2022-08-31,133546,44,0.841,0.716,10,-6.49,0,0.135,0.0707,0.00584,0.45,0.827,88.029,4
Butterflies,"Skrillex,Starrah,Four Tet",2021-05-10,195937,45,0.684,0.921,2,-5.836,0,0.0479,0.00579,0.00624,0.259,0.31,128.018,4
Touch - VIP,"Dillon Francis,BabyJake",2021-05-14,168411,21,0.669,0.798,0,-8.581,1,0.0541,0.0105,0.741,0.121,0.676,123.999,4
So U Kno,Overmono,2023-05-12,343506,51,0.82,0.605,0,-8.357,1,0.0482,0.1,0.213,0.0398,0.559,129.98,4
Good Lies,Overmono,2023-03-31,160127,51,0.688,0.809,10,-4.781,0,0.0474,0.0694,0.88,0.602,0.615,126.019,4
Beggin',"Chris Lake,Aluna",2023-04-20,183397,73,0.801,0.691,8,-5.971,0,0.051,0.161,0.298,0.119,0.715,125.976,4
Bass Sick Bitch,"Paul Elliott,Shawn Lee",2022-11-11,235631,12,0.815,0.84,4,-11.123,0,0.0464,0.233,0.825,0.0701,0.881,121.975,4
Gravity,"Oppidan,Hans Glader",2021-04-16,187058,41,0.834,0.871,11,-6.804,0,0.257,0.0584,0.696,0.196,0.602,136.02,4
Krunk,Sad Night Dynamite,2021-02-26,187466,50,0.815,0.509,1,-7.288,1,0.0419,0.392,0.0442,0.299,0.578,94.023,4
Dummy – Chris Lake Remix,"Portugal. The Man,Chris Lake",2023-03-31,173001,45,0.769,0.873,6,-6.411,1,0.0517,0.000716,0.658,0.0681,0.705,127.021,4
Outer Space,"Habstrakt,Roderick Porter",2023-03-31,192382,45,0.785,0.939,8,-4.89,0,0.296,0.00473,0.0519,0.885,0.469,126.003,4
Gucci Slides (feat. Kxne),"BRANDON,Kxne",2022-11-11,143934,30,0.913,0.828,10,-5.428,0,0.165,0.00603,0.00898,0.335,0.802,125.959,4
Freedom,Folamour,2023-01-20,205421,45,0.768,0.747,9,-7.154,0,0.0474,0.171,0.0722,0.0534,0.921,108.014,4
Harriet Tubman?,"Harry Nathan,you",2020-04-08,199993,37,0.882,0.546,5,-10.402,0,0.128,0.0124,0.731,0.0668,0.666,119.971,4
Half Mast,Empire Of The Sun,2008-01-01,234360,34,0.771,0.738,0,-4.88,1,0.0303,0.00423,0.00419,0.501,0.761,126.983,4
Just Over,Yotto,2023-02-02,174344,0,0.574,0.898,7,-9.51,0,0.0333,0.002,0.74,0.166,0.0768,123.01,4
Protein,"Jeshi,Obongjayar",2022-05-27,175266,48,0.739,0.647,6,-6.168,1,0.297,0.194,0.0025,0.36,0.767,170.01,4
Attitude,Lewis OfMan,2022-02-18,185213,51,0.784,0.78,6,-5.182,0,0.0527,0.0299,0.00755,0.0526,0.456,100.995,4
Freedom,"plumpy,daisy maize",2021-03-17,185945,21,0.816,0.779,8,-5.048,0,0.215,0.0138,0.00155,0.183,0.467,111.001,4
Pyjamas (feat. Remi Wolf),"Benny Sings,Remi Wolf",2023-03-24,168240,0,0.906,0.462,7,-9.487,1,0.0939,0.172,0.0775,0.136,0.7,97.085,4
Common Ground,Jack Harlow,2023-04-28,100424,56,0.807,0.681,1,-5.612,1,0.345,0.507,0,0.283,0.571,98.173,4
The World,Benny Sings,2023-03-24,186453,0,0.721,0.561,1,-8.739,1,0.047,0.582,0.0000434,0.0776,0.963,94.982,4
Loving Is Easy,"Rex Orange County,Benny Sings",2017-10-11,155720,69,0.756,0.609,3,-7.927,1,0.0544,0.217,0.00482,0.0959,0.537,117.024,4
Groove Machine,Record Club,2022-05-06,208366,22,0.882,0.766,5,-7.806,0,0.0469,0.0291,0.771,0.116,0.307,124.041,3
Getaway,"Squid the Kid,Infuschia,nesh",2023-03-29,166071,31,0.809,0.797,10,-6.027,0,0.253,0.245,0,0.381,0.768,112.004,4
New Bottega,"Torren Foot,Azealia Banks",2023-03-10,188915,39,0.888,0.947,0,-5.657,1,0.19,0.0688,0.00427,0.241,0.498,127.006,4
Together,Hollaphonic,2020-10-27,210483,39,0.803,0.559,11,-8.332,1,0.0571,0.00192,0.663,0.261,0.524,123.99,4
Heaven,Shygirl,2022-09-30,164500,46,0.809,0.549,2,-8.881,1,0.0626,0.307,0.121,0.108,0.288,116.555,4
Glass House,PawPaw Rod,2021-05-20,171977,51,0.8,0.392,7,-8.056,1,0.179,0.147,0.0000107,0.129,0.859,180.941,4
Both Of Us - Edit,Jayda G,2020-05-26,229424,63,0.735,0.71,11,-10.222,1,0.0766,0.00851,0.762,0.0684,0.507,123.962,4
Belong,Hello Yes,2022-01-21,180000,37,0.803,0.591,10,-11.45,0,0.0423,0.29,0.734,0.123,0.37,120.021,4
Supersonic (VIP),"Noisia,Skrillex,josh pan,Dylan Brady",2022-05-12,206010,40,0.416,0.506,9,-7.885,0,0.1,0.0404,0.0202,0.11,0.0613,172.028,4
Night Feels,AR/CO,2022-09-16,171448,56,0.737,0.682,7,-4.2,0,0.0383,0.0714,0.00916,0.158,0.393,126.028,4
Airplane Mode,"GRiZ,ProbCause,Chrishira Perrier",2022-09-23,133333,40,0.683,0.837,2,-5.209,1,0.0519,0.0628,0.0000651,0.287,0.854,90.022,4
Saturday Love,"Matroda,Dino DZ",2023-04-07,141120,61,0.868,0.814,0,-5.237,1,0.0856,0.0708,0.414,0.0674,0.376,125.045,4
Never Let You Go Edit (Original by Sammy Virji),Hamdi,2021-10-28,238107,40,0.787,0.436,8,-8.726,1,0.511,0.741,0.91,0.315,0.479,139.941,4
Creative Source - A-Trak Remix,"Braxe + Falcon,Alan Braxe,DJ Falcon,A-Trak",2022-08-11,221066,27,0.745,0.866,6,-4.948,0,0.154,0.00283,0.505,0.327,0.545,123.973,4
Time After Time - Original Mix,Ghostbusterz,2023-03-03,278095,14,0.783,0.746,0,-3.922,1,0.0332,0.0197,0.00613,0.0665,0.59,125.988,4
NRG - SQWAD Remix,"Neon Steve,Sweetie Irie,SQWAD",2020-06-30,218880,21,0.863,0.842,11,-4.75,0,0.115,0.000702,0.281,0.0717,0.456,125.004,4
Show Me,Interupt,2021-12-10,183500,38,0.748,0.832,5,-4.89,0,0.044,0.0846,0.272,0.315,0.676,130.102,4
Last Night,Erd1,2022-08-05,141220,20,0.866,0.654,2,-6.289,1,0.102,0.000487,0.00176,0.123,0.348,125.04,4
See I,Boostive,2020-10-23,207428,30,0.783,0.748,11,-6.116,0,0.0381,0.154,0.0243,0.0462,0.658,125.041,4
Tokyo Drift,"MELON,Dance Fruits Music",2023-02-24,157440,22,0.743,0.835,1,-8.164,0,0.0419,0.00164,0.649,0.106,0.321,124.977,4
Time To Say Goodbye,"Sarah Brightman,Andrea Bocelli",1996-01-01,245626,45,0.237,0.476,7,-6.96,1,0.0326,0.876,0.00217,0.0962,0.391,105.54,4
Miss You,"Oliver Tree,Robin Schulz",2022-08-05,206000,16,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4
All Things Considered,Dirty Dike,2012,166000,16,0.557,0.81,11,-7.265,1,0.885,0.434,0.00153,0.0779,0.642,176.208,4
About This Thing,"Young Franco,Scrufizzer",2017-10-05,197458,41,0.899,0.738,8,-5.055,1,0.183,0.173,0.0000013,0.108,0.794,118.023,4
gettin' hott,Knock2,2022-04-29,224761,52,0.63,0.961,1,-3.754,0,0.0543,0.000644,0.779,0.723,0.542,125.98,4
Reflex,KYB,2022-08-05,158769,0,0.665,0.939,2,-1.078,1,0.0647,0.00056,0.395,0.979,0.315,130.225,4
Stay Awake - Don Diablo VIP Mix,"Don Diablo,Freak Fantastique",2021-12-03,197419,23,0.748,0.818,0,-5.991,0,0.227,0.0527,0.0000519,0.12,0.623,123.987,4
Dancing Queen,"MELON,Steve Void,Dance Fruits Music",2023-02-24,185196,22,0.608,0.923,9,-4.842,1,0.176,0.00414,0.0000145,0.331,0.478,126.994,4
Assumptions - BURNS' Constant Groove Edit,"Sam Gellaitry,BURNS",2023-02-24,227700,23,0.775,0.828,7,-7.728,0,0.0926,0.00665,0.916,0.41,0.726,126.038,4
Crush,"Hutcher,DRIIA,Naike",2023-03-10,180070,39,0.792,0.821,4,-6.711,0,0.149,0.368,0.0000212,0.0932,0.95,130.12,4
Treat,Raffa Fl,2021-09-03,182110,38,0.795,0.654,6,-8.2,0,0.0473,0.00744,0.0792,0.148,0.0906,125.001,4
Gimme! Gimme! Gimme! (A Man After Midnight),"MELON,Dance Fruits Music",2023-02-24,161904,26,0.781,0.744,7,-5.588,0,0.0381,0.00673,0.00883,0.106,0.307,126.005,4
Pon de Replay,"MELON,Steve Void,Dance Fruits Music",2023-02-24,157440,42,0.806,0.752,6,-7.72,1,0.0884,0.00724,0.00384,0.057,0.452,125.043,4
Summer Rise,"Hansom Ēli,Mikey J Blige",2020-07-17,244346,30,0.656,0.481,6,-8.488,1,0.0942,0.794,0.000102,0.314,0.476,84.957,4
Forever And A Day,"LP Giobbi,Caroline Byrne",2022-08-16,166230,58,0.659,0.55,7,-9.338,1,0.0317,0.0986,0.000268,0.166,0.287,125.067,4
Everything You Have Done - Meduza Edit,"GENESI,MEDUZA",2023-03-10,156218,60,0.678,0.935,2,-6.382,1,0.0592,0.0459,0.202,0.198,0.485,124.989,4
Miracle (with Ellie Goulding),"Calvin Harris,Ellie Goulding",2023-03-10,186496,79,0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,4
Best for You - DJ ST THOMAS Remix,"Blood Cultures,DJ ST THOMAS",2020-02-20,180594,25,0.667,0.887,2,-4.131,1,0.248,0.165,0.000486,0.135,0.448,100.956,4
Secrets (Your Fire),Magdalena Bay,2021-10-08,245897,48,0.691,0.827,10,-5.573,0,0.0402,0.00177,0.637,0.416,0.826,107.997,4
Thru My Hair,¿Téo?,2018-09-13,100500,60,0.782,0.544,9,-7.943,0,0.075,0.502,0.00438,0.0655,0.906,130.079,4
NIKE SHOE BOX (feat. KAYTRANADA),"Lou Phelps,KAYTRANADA",2020-10-30,132035,23,0.375,0.902,1,-3.489,1,0.363,0.139,0,0.34,0.858,77.621,4
Aces,dkj,2022-11-25,122250,61,0.602,0.537,10,-11.389,0,0.0332,0.00118,0.947,0.289,0.428,139.94,4
Spiral,"Tommy Lunaire,Rau_Ze",2022-05-20,223625,36,0.911,0.422,0,-10.497,0,0.286,0.403,0.04,0.35,0.261,119.001,4
Rhyme Dust,"MK,Dom Dolla",2023-02-24,181364,65,0.925,0.561,3,-8.675,1,0.176,0.0659,0.0271,0.152,0.721,128.034,4
Fly,Dark Heart,2021-11-12,199144,41,0.877,0.755,1,-4.858,1,0.0533,0.000539,0.829,0.16,0.721,125.001,4
Deceiver - VIP,"Chris Lake,Green Velvet",2023-03-03,155845,47,0.889,0.898,1,-4.36,0,0.105,0.0189,0.67,0.0769,0.84,124.02,4
Gucci Prada - Mixed,"Corrupt (UK),KDYN",2021-01-04,91428,39,0.786,0.921,5,-5.014,1,0.0641,0.0146,0.825,0.147,0.662,126.09,3
Bus Stop,"Harry Nathan,BOONIE",2022-06-17,177755,25,0.849,0.58,5,-9.321,0,0.0592,0.293,0.883,0.36,0.206,122.001,4
Breathing,"Twin Diplomacy,it's murph",2023-01-06,186504,44,0.803,0.653,2,-7.821,1,0.0825,0.0168,0.873,0.0755,0.479,124.003,4
Ruh - Taiki Nulight Afterhours Mix,"Taiki Nulight,Almek,RENNAN",2022-03-17,150506,47,0.791,0.818,9,-7.726,1,0.0815,0.00277,0.907,0.0877,0.45,125.019,4
Your Heart,Paccu,2022-12-29,124375,59,0.729,0.652,11,-9.312,0,0.0443,0.00806,0.871,0.112,0.572,126.027,4
Fellas,"Whistleface,Mack Gray",2022-09-02,216775,3,0.797,0.583,11,-11.401,0,0.0578,0.00116,0.295,0.0725,0.599,124.009,4
Alors On Danse - DubDogz Remix,"Stromae,Dubdogz",2019-05-03,168576,70,0.789,0.752,1,-4.274,0,0.164,0.027,0.0000269,0.613,0.739,122.98,4
REGRESO - warner case Remix,"MATVEÏ,warner case",2021-08-25,195245,49,0.832,0.747,10,-6.893,0,0.0586,0.0458,0.0109,0.116,0.549,121.987,4
HYPNOSIS,"AYYBO,ero808",2022-07-01,158583,62,0.96,0.872,1,-4.758,0,0.282,0.182,0.00983,0.291,0.7,125.03,4
Sun Moon,"Cabu,Young Franco,Noé",2022-01-28,154500,52,0.636,0.827,1,-9.321,1,0.226,0.237,0.000114,0.324,0.652,113.714,4
track one,Paul Mond,2023-01-16,190488,13,0.786,0.882,3,-7.395,1,0.0458,0.104,0.835,0.109,0.561,130.999,4
SEX IS GOOD BUT HAVE U EVER,Soul Legend,2022-04-22,146949,58,0.802,0.61,9,-7.764,1,0.168,0.0384,0.222,0.109,0.82,117.967,4
Samba de Janeiro - Club Mix,Bellini,1997-01-01,338655,42,0.745,0.87,11,-6.119,0,0.0536,0.000807,0.751,0.1,0.927,132.998,4
Coming Home,"A-Trak,Ferreck Dawn",2020-02-21,190276,56,0.786,0.803,5,-5.21,1,0.164,0.128,0.0167,0.266,0.598,123.002,4
Way out in the Rain,Sweeps,2019-10-01,161527,27,0.629,0.585,6,-10.251,0,0.243,0.00376,0.582,0.326,0.646,180.006,4
Brings You Down (Hush Hush's Deep Dub),"Monolithic,Hush Hush",2023-02-17,399642,9,0.801,0.827,7,-8.928,0,0.0597,0.0129,0.875,0.0617,0.824,126.007,4
Intimate,Whistleface,2021-12-30,175237,30,0.877,0.543,8,-8.163,1,0.0621,0.00182,0.317,0.0552,0.501,125.995,4
Best for You,Blood Cultures,2019-09-13,213040,39,0.542,0.636,2,-5.235,1,0.0321,0.0318,0.00194,0.823,0.485,90.126,4
Two Weeks,Grizzly Bear,2009-05-24,246213,68,0.526,0.723,5,-5.59,1,0.0294,0.3,0.00698,0.058,0.744,159.685,4
Molotov,"Habstrakt,Malaa",2023-03-03,178065,29,0.79,0.991,1,-3.925,1,0.128,0.0164,0.456,0.153,0.208,123.981,4
Girls,The Dare,2022-08-05,119558,0,0.942,0.814,2,-2.523,1,0.227,0.0685,0.00000872,0.057,0.886,121.981,4
Food for the Soul,it's murph,2023-02-17,210562,63,0.655,0.714,7,-7.78,0,0.0572,0.0512,0.48,0.32,0.131,123.002,4
Let It Go,KITTENS,2022-06-10,187000,20,0.65,0.782,10,-6.361,0,0.135,0.201,0.0249,0.249,0.225,109.967,4
Morenita,"HUGEL,Cumbiafrica",2021-06-25,176491,71,0.639,0.769,1,-5.077,1,0.0383,0.000701,0.742,0.0553,0.177,123.983,4
EXCEPTIONAL - Instrumental,veggi,2022-02-11,133582,46,0.878,0.301,9,-12.568,1,0.0616,0.599,0.766,0.195,0.197,114.984,4
LMPG,Memblem,2022-05-13,125825,29,0.802,0.777,7,-6.88,1,0.0909,0.00632,0.906,0.165,0.256,103.008,4
Walk On the Wild Side,Lou Reed,1972-12-01,254173,71,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,4
drive ME crazy!,Lil Yachty,2023-01-27,229804,73,0.497,0.825,10,-3.621,0,0.0925,0.172,0.00319,0.377,0.44,107.073,4
Sacrifice,"Kaskade,deadmau5,Sofi Tukker,Kx5",2023-02-17,279692,57,0.667,0.956,6,-5.563,1,0.287,0.00385,0.0184,0.303,0.17,129.991,4
Halloween Store,Andy Shauf,2023-02-10,179280,23,0.648,0.498,0,-13.786,1,0.0397,0.101,0.135,0.235,0.611,139.874,4
NIGHT LIFE,NIGHTMORSS,2022-07-08,121145,45,0.696,0.801,0,-4.187,1,0.237,0.00384,0.888,0.101,0.316,120.09,4
Pastel,Polar Inc.,2020-08-04,219000,49,0.738,0.638,9,-9.689,0,0.0635,0.0677,0.887,0.0873,0.041,122.013,4
Wasted On You,Andy Shauf,2023-02-10,216186,26,0.537,0.296,0,-14.365,1,0.0875,0.738,0.163,0.117,0.527,170.263,4
The Scoop,Format:B,2017-09-15,178548,41,0.809,0.944,5,-6.339,0,0.193,0.00043,0.877,0.0416,0.18,124.014,4
Obsesion,"Aventura,Judy Santos",2002-06-01,254720,78,0.804,0.56,1,-6.912,0,0.0397,0.416,0,0.0608,0.768,133.682,4
Keep Moving - Dave Lee Remix,"Jungle,Dave Lee",2021-12-01,363492,33,0.795,0.567,5,-7.548,0,0.0504,0.00845,0.00362,0.0398,0.652,118.001,4
Demasiadas Mujeres,C. Tangana,2021-02-26,153960,73,0.658,0.453,9,-7.378,0,0.39,0.131,0.0002,0.0848,0.358,126.043,4
Get Down - Chico Rose Remix,"Steff da Campo,Dave Crusher,Chico Rose",2020-03-06,174062,20,0.85,0.744,10,-6.711,1,0.108,0.00372,0.00956,0.18,0.682,124.942,4
Fou - Poolside Remix,"L'Impératrice,Poolside",2020-07-21,281493,32,0.768,0.581,0,-10.383,1,0.0501,0.0581,0.804,0.0601,0.76,103.967,4
My Rainbow Life,The Freak Scene,1967-04-26,169266,11,0.194,0.677,0,-7.275,1,0.033,0.0365,0.0028,0.234,0.479,171.848,3
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,84,0.716,0.613,1,-6.018,0,0.0522,0.391,0,0.0813,0.157,97.914,4
A Drug From God,"Chris Lake,Grimes,NPC",2021-11-12,192455,51,0.714,0.883,9,-4.43,1,0.0625,0.00819,0.843,0.231,0.819,126.016,4
Arms,Model Man,2022-09-09,244672,32,0.615,0.874,10,-6.859,1,0.039,0.00188,0.712,0.0725,0.417,122.005,4
Once Twice Melody,Beach House,2022-02-18,284906,47,0.353,0.73,7,-11.021,0,0.0343,0.39,0.863,0.136,0.427,168.234,4
Somewhere Tonight,Beach House,2015-10-16,253936,49,0.247,0.301,7,-11.735,1,0.0302,0.455,0.931,0.174,0.0872,174.217,3
Pacific Telephone,Papooz,2019-11-08,184322,27,0.647,0.77,6,-7.81,0,0.0266,0.000222,0.051,0.252,0.654,106.024,4
I Ran (So Far Away),A Flock Of Seagulls,1982-04-30,308933,62,0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,4
Theatrical State of Mind,Papooz,2019-11-08,192039,33,0.788,0.542,2,-9.16,1,0.0417,0.00709,0.0038,0.125,0.342,94.991,4
running out of time,Lil Yachty,2023-01-27,269244,56,0.65,0.715,6,-6.501,0,0.158,0.295,0.303,0.492,0.733,90.016,4
No Diggity,"HÄWK,BEYGE",2022-01-07,218880,43,0.809,0.777,6,-8.677,0,0.0498,0.016,0.83,0.0721,0.436,125.034,4
Can't Get Over You - INNDRIVE Remix,"KVSH,The Otherz,INNDRIVE,Gabriel Froede",2022-12-09,189523,20,0.69,0.872,9,-7.662,0,0.0612,0.00876,0.0391,0.0765,0.815,126.008,4
the ride-,Lil Yachty,2023-01-27,190581,56,0.416,0.792,6,-4.809,0,0.0867,0.325,0.000368,0.374,0.568,152.027,4
Pene biler brenner penere,Lars Vaular,2023-01-13,208453,29,0.661,0.463,1,-8.105,1,0.0324,0.461,0.0115,0.11,0.247,125.986,4
2 Die 4,Tove Lo,2022-07-29,185875,5,0.816,0.8,10,-5.705,0,0.0733,0.0283,0.0000603,0.129,0.534,118.014,4
I Hope to Be Around,Men I Trust,2017-11-10,205554,7,0.821,0.383,11,-9.355,1,0.0387,0.78,0.00171,0.11,0.788,87.954,4
Wings - Shlohmo Remix,"HAERTS,Shlohmo",2015-01-20,319506,19,0.292,0.71,10,-7.322,0,0.0457,0.0189,0.00623,0.0769,0.039,119.934,4
Starry Night,Tell,2018-06-01,356317,34,0.873,0.882,4,-6.974,1,0.127,0.0174,0.547,0.171,0.646,118.998,4
my little room,poolblood,2023-01-13,265189,0,0.547,0.232,10,-13.122,0,0.0271,0.851,0.399,0.11,0.174,104.062,4
Summer's Gone,"NoMBe,Thutmose",2018-03-23,213698,0,0.599,0.585,9,-10.076,1,0.0554,0.108,0.000982,0.121,0.177,145.933,4
Humans,Night Tapes,2022-06-07,251690,0,0.645,0.562,5,-6.869,0,0.0329,0.219,0.7,0.169,0.36,91.177,4
Lovas,"Shaka Lion,Singularis",2022-11-16,253612,32,0.68,0.43,5,-9.268,0,0.121,0.435,0.173,0.289,0.386,150.083,4
PURE/HONEY,Beyoncé,2022-07-29,288254,65,0.857,0.558,1,-7.888,1,0.134,0.0122,0.000048,0.288,0.453,123.973,4
Clouds,rAHHH,2017-10-20,245371,14,0.705,0.596,4,-6.281,1,0.0527,0.73,0.889,0.351,0.236,99.971,4
Adventure - Alex Bone Extended Remix,"Alex Bone,Cory Wong",2022-02-04,331358,0,0.866,0.922,11,-6.42,0,0.0973,0.219,0.769,0.161,0.4,127.993,4
Visions II,Windows 96,2018-07-13,214697,24,0.588,0.528,5,-11.67,0,0.0528,0.19,0.886,0.12,0.172,170.018,4
Let You Go,Nepsa,2022-05-06,172711,36,0.808,0.496,5,-11.397,0,0.0502,0.526,0.349,0.15,0.444,123.991,4
a really damn long day,Gus Glasser,2022-11-04,221318,33,0.693,0.625,9,-6.487,0,0.13,0.734,0.00000567,0.171,0.129,140.983,4
Fake ID (Coke & Rum Remix),"Riton,Kah-Lo,GEE LEE",2022-12-15,126720,14,0.861,0.484,9,-13.119,0,0.092,0.0107,0.00383,0.316,0.509,124.913,4
Call on Me - Radio Mix,Eric Prydz,2004-09-10,171360,74,0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,4
Beat Goes On (Rhythm to the Brain),Campbell,2022-10-07,133212,61,0.821,0.781,0,-4.465,1,0.0397,0.00563,0.0191,0.0403,0.434,137.017,4
Last Christmas 2022,"Tommie Sunshine,On Deck,The Guidance",2022-12-16,212942,1,0.75,0.617,0,-8.029,1,0.0439,0.118,0.0549,0.494,0.366,123.997,4
Caröl Von Holz,"Sofi Tukker,Holzbläser",2020-12-18,254971,0,0.839,0.733,3,-5.952,0,0.0792,0.0118,0.00805,0.0742,0.67,126.981,4
Belinda Says,Alvvays,2022-09-22,165445,0,0.348,0.747,4,-4.169,1,0.0576,0.0584,0.000316,0.0704,0.285,118.941,4
BRAZIL,"DECAP,DJ Damianito",2018-08-31,125270,40,0.926,0.629,7,-4.906,0,0.0835,0.000842,0.0315,0.487,0.347,118.038,4
Genesis,Justice,2007-06-11,234960,61,0.693,0.789,9,-5.13,1,0.384,0.0168,0.366,0.0985,0.283,117.055,4
Early Bird,Larry June,2019-02-15,159587,44,0.76,0.616,1,-7.952,1,0.136,0.306,0,0.189,0.551,96.98,4
Do You Miss Me?,PinkPantheress,2022-12-16,128853,40,0.647,0.871,11,-7.144,0,0.0936,0.0976,0.000534,0.173,0.643,129.928,4
New Medallion,YGTUT,2022-06-09,195933,32,0.883,0.612,8,-6.791,1,0.24,0.276,0.00000222,0.143,0.731,81.163,4
Tonight,"Snakehips,Tchami",2022-02-18,220669,34,0.774,0.854,6,-5.411,1,0.102,0.00914,0.0643,0.0814,0.84,123.982,4
Raving On My Own,Jim-E Stack,2021-10-15,128412,19,0.637,0.887,11,-6.963,0,0.0327,0.387,0.793,0.192,0.104,134.739,4
Bhāvachakra,Anish Kumar,2022-07-29,211810,28,0.667,0.681,3,-6.778,0,0.0334,0.00261,0.0417,0.116,0.377,129.015,4
Truth Be Told,"grouptherapy.,SWIM,TJOnline,Jadagrace",2022-04-07,266040,18,0.848,0.414,10,-9.631,0,0.156,0.0509,0.0116,0.165,0.623,159.975,4
Guilty Pleasure,Groupthink,2022-04-08,187059,0,0.699,0.884,1,-3.607,1,0.0807,0.00561,0.000389,0.228,0.259,92.973,4
Try This,"Lu,Rocci",2021-10-29,193118,30,0.822,0.542,7,-6.727,0,0.057,0.128,0.144,0.076,0.906,98.005,4
Serotonin Moonbeams,The Blessed Madonna,2022-11-11,289471,64,0.817,0.876,8,-7.485,0,0.046,0.0332,0.199,0.412,0.671,131.022,4
