Track Name,Artist Name(s),Release Date,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
Acres,Sam Gellaitry,2017-04-07,233750,36,0.271,0.441,9,-7.991,1,0.0461,0.402,0.308,0.103,0.0591,113.633,4
Easy Like Before,Crystal Murray,2020-04-15,178350,43,0.74,0.476,7,-8.244,1,0.102,0.153,0.000108,0.12,0.248,116.954,4
The Thief in Marrakesh,Arc De Soleil,2019-10-18,180373,67,0.76,0.522,2,-7.937,0,0.0374,0.338,0.854,0.142,0.68,89.974,4
HONEYMOON,Jo Hill,2022-04-01,199826,43,0.771,0.59,2,-8.038,1,0.0289,0.625,0.492,0.143,0.865,110.006,4
Konichiwa,Donny Benét,2018-04-06,277866,45,0.81,0.535,2,-8.897,0,0.0358,0.177,0.00637,0.108,0.843,110.03,4
Must Be Love,"Tseba,Electric Fields",2021-05-07,270145,44,0.548,0.922,5,-5.52,1,0.116,0.0585,0.177,0.109,0.735,121.992,4
Let's Go Walk,Bronze Whale,2020-02-25,202000,45,0.692,0.605,10,-5.524,1,0.12,0.662,0.000707,0.105,0.116,89.97,4
Out The Window,Lo Village,2021-01-22,232510,36,0.407,0.835,10,-5.998,0,0.357,0.329,0.000048,0.266,0.757,195.615,4
Dsnt Rlly Matter,Luxage,2020-05-27,229000,32,0.886,0.591,4,-7.881,0,0.134,0.222,0.104,0.262,0.314,119.994,4
The Number Thirteen,Louis Prince,2020-03-13,254666,35,0.505,0.507,1,-10.671,0,0.0446,0.134,0.812,0.104,0.648,154.976,4
Baby Interlude,Channo,2021-11-05,93632,40,0.716,0.753,1,-6.922,1,0.0406,0.0055,0.0138,0.0912,0.702,111.518,4
Easy Money,"ODESZA,Yellow House",2023-07-21,214140,46,0.592,0.855,5,-4.031,0,0.0458,0.00995,0.00325,0.194,0.497,119.982,4
Sudden Death,"Quelle Chris,Chris Keys",2020-04-24,221283,32,0.608,0.87,2,-4.344,0,0.0287,0.383,0.847,0.067,0.704,157.118,4
Easter Sunday,"Zelooperz,Earl Sweatshirt",2019-09-16,122737,57,0.38,0.723,1,-9.608,0,0.34,0.0774,0.00000252,0.92,0.804,143.285,4
how do you say goodbye,"KWAMZAY,Kwame Adu,ZAYALLCAPS",2021-06-19,109331,39,0.481,0.934,7,-3.758,1,0.226,0.588,0,0.29,0.596,91.85,4
Free Lunch,Isaiah Rashad,2016-09-02,192029,64,0.865,0.472,11,-7.359,0,0.237,0.223,0.0000539,0.109,0.843,130.011,4
World Champ,Marlon Craft,2022-05-18,146953,63,0.516,0.565,1,-6.77,1,0.207,0.147,0.000285,0.313,0.721,178.177,3
Turn Back Time,Gilligan Moss,2023-07-27,231316,38,0.719,0.89,7,-4.88,1,0.0392,0.0712,0.937,0.0735,0.841,125.959,4
Give Me A Smile,Thandii,2023-03-31,207466,34,0.777,0.56,7,-10.183,1,0.0433,0.0559,0.474,0.352,0.525,91.998,4
hello wrld,Village,2020-02-07,164210,41,0.596,0.312,2,-10.363,0,0.0526,0.346,0.897,0.133,0.0987,95.088,4
Keep Those Teardrops from Falling,Natalie Bergman,2021-11-05,164830,53,0.659,0.529,4,-6.261,1,0.0297,0.196,0,0.0896,0.716,76.032,4
Radio Man,poolfire,2021-11-03,240053,34,0.377,0.669,6,-6.463,0,0.087,0.16,0.673,0.111,0.235,155.891,4
Flight of the Flamingo,Flamingosis,2016-08-05,188965,29,0.729,0.525,6,-12.584,1,0.112,0.00187,0.496,0.0453,0.753,87.003,4
Get Me Some,"TOKiMONSTA,Dumbfoundead,Drew Love",2020-03-20,212811,39,0.824,0.852,1,-5.666,1,0.0344,0.168,0.00237,0.286,0.791,117.017,4
Steel (feat. Dora Jar),Matt Champion,2024-03-22,163226,46,0.757,0.691,1,-7.414,1,0.0561,0.551,0.0000626,0.117,0.668,112.007,4
Picture You,Chappell Roan,2023-09-22,187130,69,0.354,0.468,4,-5.415,1,0.0334,0.4,0,0.138,0.281,160.586,3
Yokohama,Stevedreez,2019-08-23,124067,25,0.846,0.615,1,-6.984,1,0.157,0.029,0.000768,0.207,0.685,117.999,4
Conceited,Lola Young,2023-09-29,239451,61,0.767,0.437,11,-5.05,0,0.0545,0.375,0,0.478,0.84,92.016,4
Free (feat. Tom Misch),"Joel Culpepper,Tom Misch",2023-09-13,234771,43,0.829,0.592,11,-8.84,0,0.0635,0.208,0.0363,0.114,0.903,139.922,4
"Patadas de Ahogado / LATÍN MAFIA, HUMBE - Rework",HUGEL,2024-02-22,186341,75,0.706,0.629,1,-11.408,1,0.0444,0.159,0.34,0.0951,0.471,123.044,4
Dog Days,PAWSA,2023-11-03,223631,54,0.796,0.688,5,-9.262,1,0.067,0.00636,0.0172,0.0459,0.876,131.004,4
Love Me Anyway,Chappell Roan,2020-05-01,233325,65,0.608,0.463,8,-7.005,1,0.0286,0.265,0.00000161,0.0743,0.271,93.957,4
Hysterical Us,Magdalena Bay,2021-10-08,235565,40,0.755,0.779,7,-6.718,1,0.0474,0.0455,0.000164,0.218,0.553,114.989,4
Dawning of the Season,Magdalena Bay,2022-09-23,204363,22,0.746,0.763,5,-6.938,0,0.0408,0.00102,0.736,0.411,0.613,111.017,4
Top Dog,Magdalena Bay,2023-04-13,137187,49,0.733,0.721,7,-9.131,1,0.128,0.0135,0.00103,0.125,0.602,144.975,4
Smoking at Midnight,Tomppabeats,2016-05-06,95921,47,0.883,0.463,4,-6.247,0,0.125,0.778,0.757,0.104,0.664,80.274,4
Meguro,BLOW,2022-01-14,204874,45,0.75,0.709,5,-6.437,0,0.149,0.0439,0.241,0.304,0.694,107.006,4
Cobra,"Mcbaise,Muthi",2021-06-11,308346,39,0.673,0.445,11,-10.269,1,0.0304,0.498,0.0602,0.0991,0.573,140.031,4
Mozart,Matroda,2022-11-11,168095,29,0.808,0.969,9,-6.995,1,0.0498,0.00932,0.897,0.0843,0.76,126.027,4
Mixer,Amber Mark,2019-04-04,192823,56,0.703,0.742,9,-5.542,1,0.0454,0.0509,0.000636,0.625,0.812,94.926,4
Casual,Chappell Roan,2023-09-22,232796,79,0.508,0.411,1,-6.95,1,0.0269,0.226,0,0.0571,0.34,131.008,4
My Kink Is Karma,Chappell Roan,2023-09-22,222578,78,0.555,0.599,2,-5.695,1,0.052,0.00925,0,0.102,0.415,86.727,4
Pink Pony Club,Chappell Roan,2023-09-22,258034,77,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
NO TRENDS,Mike Dimes,2022-03-08,151285,67,0.73,0.726,2,-4.865,1,0.0655,0.00893,0.00000442,0.255,0.731,139.938,4
On & Off,Ghostly Kisses,2024-01-24,221693,17,0.729,0.616,11,-7.194,0,0.0239,0.184,0.00465,0.12,0.471,102.004,4
Apna Bana Le,"Sachin-Jigar,Arijit Singh,Amitabh Bhattacharya",2022-12-06,261702,71,0.586,0.562,9,-7.399,1,0.0267,0.803,0.00000552,0.063,0.436,93.982,4
Apna Bana Le,"Sachin-Jigar,Arijit Singh,Amitabh Bhattacharya",2022-11-22,261702,74,0.586,0.562,9,-7.399,1,0.0267,0.803,0.00000552,0.063,0.436,93.982,4
Tell Me,"NEIL FRANCES,The Undercover Dream Lovers",2020-04-24,198000,58,0.83,0.532,7,-10.855,0,0.0409,0.119,0.00114,0.112,0.892,120.046,4
Cinnamon,"SunSquabi,Late Night Radio",2017-04-07,194042,41,0.71,0.687,0,-9.928,0,0.0553,0.347,0.934,0.361,0.699,94.026,4
Got To Be Good,"Gotts Street Park,Pip Millett",2023-10-13,159933,68,0.718,0.504,5,-9.119,1,0.0433,0.37,0.00955,0.127,0.675,89.945,4
Winter Solstice - Braxe + Falcon Remix,"Phoenix,Braxe + Falcon,Alan Braxe,DJ Falcon",2023-05-26,240156,44,0.768,0.567,1,-10.388,0,0.0381,0.35,0.463,0.111,0.334,113.992,4
Ocean Prime (feat. Boldy James),"The Alchemist,Boldy James",2019-08-30,99906,69,0.583,0.604,2,-8.437,1,0.456,0.735,0,0.724,0.691,49.305,5
Cream,Aaron May,2019-02-28,113555,69,0.87,0.37,1,-6.143,1,0.393,0.12,0,0.117,0.747,169.927,4
SOULACOASTA,Close Counters,2018-02-08,260415,35,0.774,0.609,10,-8,1,0.0695,0.0124,0.892,0.723,0.49,115.99,4
THE ONE,INJI,2023-01-19,160661,49,0.688,0.861,1,-6.022,1,0.105,0.681,0.756,0.239,0.773,120.973,4
Cut,Duskus,2023-11-10,118772,55,0.768,0.642,11,-10.758,1,0.0751,0.5,0.778,0.119,0.284,135.393,4
Be Somebody (feat. Tkay Maidza),"Emotional Oranges,Tkay Maidza",2023-08-11,141780,53,0.873,0.641,2,-7.536,1,0.0909,0.0703,0.0011,0.126,0.67,97.022,4
C.R.E.A.M. - Live Instrumental,OMA,2024-01-05,176000,45,0.424,0.527,1,-14.067,0,0.268,0.0686,0.775,0.108,0.619,173.948,4
So Special (Gonna Last),Poptartpete,2016-11-09,124000,33,0.679,0.608,11,-11.381,0,0.141,0.339,0.0954,0.126,0.783,78.093,4
Can't Sleep Alone,"smle,oksami,Nick Smith",2021-06-25,165535,38,0.694,0.654,6,-4.45,1,0.283,0.346,0,0.0828,0.833,112.008,4
Slug,Matt Champion,2024-02-28,180906,46,0.791,0.581,9,-7.568,0,0.0423,0.066,0.106,0.111,0.701,120.046,4
Try 2 Luv,Never Dull,2022-03-04,209516,42,0.804,0.832,11,-6.821,0,0.05,0.00386,0.86,0.0532,0.892,123.999,4
Alone. Together,Golding,2020-06-26,182631,47,0.681,0.672,10,-7.797,1,0.0367,0.00548,0.415,0.115,0.351,95,4
Care,Hana Vu,2024-02-14,277815,47,0.557,0.581,2,-5.293,1,0.0316,0.0184,0,0.115,0.198,80.178,4
SMSOU,"Eliminate,Frost Children",2024-02-02,228759,37,0.879,0.917,7,-1.086,1,0.109,0.0541,0.00464,0.372,0.53,128.008,4
Forever in Frutiger Aero,Professor Creepshow,2024-02-23,123750,20,0.66,0.531,10,-9.013,0,0.0381,0.108,0.93,0.116,0.85,140.005,4
raccoon lobby,"mati.ilan,Deet",2023-08-02,93779,15,0.702,0.443,6,-13.196,0,0.0348,0.223,0.616,0.123,0.524,105,4
Changes,"Antonio Williams,Kerry McCoy",2016-12-16,248035,46,0.744,0.753,7,-7.129,1,0.0274,0.0168,0.199,0.184,0.738,112.013,4
Beatbox,"Lucid Monday,Milye",2020-09-28,105117,31,0.626,0.248,7,-9.852,1,0.181,0.647,0.802,0.0868,0.351,78.405,3
Something Special,House of EL,2022-01-21,205470,40,0.668,0.695,10,-7.36,1,0.0371,0.256,0.924,0.431,0.772,90.003,4
Be Easy,"Odeal,brazy",2023-05-26,132052,68,0.822,0.488,5,-9.24,0,0.643,0.0874,0,0.154,0.439,123.893,4
Sossaup,"KAYTRAMINÉ,Aminé,KAYTRANADA,Amaarae",2023-05-19,156000,62,0.829,0.827,1,-4.472,0,0.0656,0.24,0.172,0.101,0.283,105.019,4
Sociopathic Dance Queen,Amaarae,2023-06-09,139733,56,0.848,0.58,4,-8.434,0,0.0637,0.0533,0.535,0.0796,0.962,140.042,4
Computa Hakka,"Pegboard Nerds,Ragga Twins",2019-10-03,197877,27,0.652,0.879,11,-3.53,0,0.298,0.00183,0,0.136,0.793,82.67,4
Somebody (2024),"Gotye,FISHER,Chris Lake,Kimbra,Sante Sansone",2024-02-09,153518,79,0.848,0.629,0,-6.198,1,0.0424,0.016,0.18,0.049,0.586,130.017,4
you'll come back,jigitz,2024-01-10,124686,45,0.736,0.776,11,-7.313,1,0.0711,0.17,0.836,0.105,0.274,159.976,4
DARLING DRIVE,"METTE,Sam Gellaitry",2024-01-11,199497,52,0.799,0.837,11,-5.681,0,0.47,0.027,0,0.109,0.531,117.19,4
4eva,"Shygirl,Empress Of,Kingdom,Club Shy",2024-02-09,140933,42,0.743,0.921,5,-4.206,0,0.029,0.00473,0.029,0.235,0.96,127.015,4
May Ninth,Khruangbin,2024-02-20,192144,56,0.594,0.356,6,-11.191,0,0.0378,0.342,0.854,0.148,0.544,80.839,4
Some,Steve Lacy,2016-10-31,118393,81,0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,4
loving u is harder,SEB,2022-11-04,147426,57,0.696,0.809,8,-6.622,0,0.0473,0.61,0.00924,0.177,0.738,80.039,4
escape the matrix,"Xwulf,phonk core",2023-11-24,100322,30,0.684,0.839,4,-7.144,1,0.0312,0.0175,0.831,0.263,0.678,124.98,4
ysbcmn,GODBY,2021-04-09,199106,32,0.55,0.316,5,-10.587,0,0.0738,0.558,0.0752,0.122,0.147,87.012,4
Prism,Say She She,2022-10-07,232477,53,0.461,0.73,2,-8.201,1,0.0494,0.091,0.402,0.259,0.669,171.921,3
Young Folks,Mindchatter,2022-11-18,277753,40,0.75,0.882,9,-5,0,0.0559,0.0349,0.753,0.105,0.531,136.036,4
Dancing In Babylon (feat. Christine and the Queens),"MGMT,Christine and the Queens",2024-02-20,292093,37,0.508,0.851,6,-6.674,1,0.0652,0.163,0.144,0.931,0.254,129.802,4
Can U Lose?,Lean Low,2022-07-26,199024,37,0.674,0.803,6,-8.609,0,0.0402,0.00386,0.751,0.579,0.703,122.99,4
B Cool (feat. Melanie Faye),"Magroove,Melanie Faye",2017-06-24,199245,37,0.794,0.368,8,-12.725,1,0.0523,0.559,0.694,0.0864,0.775,140.063,4
Easier Said Than Done,Thee Sacred Souls,2022-08-26,174706,73,0.547,0.399,10,-9.808,1,0.0246,0.668,0.00000281,0.132,0.563,84.127,4
How many miles,Mk.gee,2024-02-09,141236,57,0.76,0.412,5,-9.087,1,0.0441,0.845,0.404,0.0904,0.526,137.987,4
Couldn't Catch My Breath,"DJ Houseplants,Harriet Brown",2022-07-17,289071,40,0.72,0.895,2,-6.113,1,0.047,0.0153,0.00322,0.102,0.223,142.013,4
Girls Just Wanna Have Some,Chromatics,2015-11-06,223236,76,0.667,0.629,0,-8.493,1,0.0324,0.175,0.116,0.0915,0.455,115.002,4
Cherry,Chromatics,2017-12-09,271952,57,0.655,0.782,7,-6.388,0,0.0355,0.0336,0.228,0.175,0.812,108.245,4
Home,Good Neighbours,2024-01-17,157485,86,0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002,4
DO IT,"Kanye West,Ty Dolla $ign",2024-02-09,225000,43,0.83,0.69,1,-5.87,1,0.0831,0.188,0,0.0795,0.622,107.016,4
BURN,"Kanye West,Ty Dolla $ign",2024-02-09,111458,45,0.594,0.885,4,-6.21,0,0.394,0.0158,0.00000629,0.856,0.735,105.017,4
Blessed,"Becca Hatch,Tentendo",2022-10-20,162857,37,0.811,0.558,6,-7.838,0,0.0552,0.214,0.000992,0.106,0.852,125.975,4
To The Floor,"Lil Silva,BADBADNOTGOOD",2022-07-15,189422,38,0.692,0.671,6,-10.481,0,0.0404,0.04,0.921,0.0939,0.438,114.009,4
Fatal Fantasies,Gold Fir,2019-02-27,234453,47,0.815,0.808,5,-6.038,0,0.0548,0.45,0.613,0.0734,0.843,104.016,4
Dozing Off Again... - House Edit,Starjunk 95,2022-03-04,157983,43,0.705,0.863,5,-2.92,0,0.0391,0.0105,0.227,0.137,0.311,124.068,4
Blade Runner 2049,Synthwave Goose,2018-05-25,228019,49,0.573,0.458,0,-16.739,0,0.0369,0.896,0.902,0.125,0.0364,116.029,4
Isotopic Shift,Pyromed,2022-12-23,251611,35,0.247,0.814,3,-4.89,0,0.0699,0.295,0.693,0.146,0.31,176.745,4
Recorddeals,"1 9 0 5,Former City Records",2020-08-18,197005,44,0.41,0.915,1,-5.78,1,0.156,0.012,0.214,0.133,0.45,167.41,5
Get Off The Internet,"Eliminate,fussy",2024-02-02,192722,35,0.617,0.921,1,-0.477,1,0.155,0.141,0.000251,0.0542,0.667,80.028,4
thinkaboutit,Eliminate,2024-02-02,239979,36,0.602,0.944,6,-1.24,0,0.184,0.126,0.0774,0.83,0.444,149.609,4
Loretta - 日本語 version,Ginger Root,2021-11-09,190153,51,0.727,0.815,2,-5.424,1,0.0431,0.362,0.612,0.185,0.857,130.004,4
Rush (feat. PinkPantheress & Hyunjin of Stray Kids),"Troye Sivan,PinkPantheress,Hyunjin",2023-08-31,172151,46,0.73,0.851,5,-7.593,0,0.0758,0.00401,0.0000383,0.0973,0.377,126.043,4
watercolours,sxth sns,2021-07-19,117600,17,0.739,0.473,8,-8.218,0,0.189,0.0228,0.796,0.42,0.826,86.225,4
W Hotel (feat. Toosii),"Pressa,Toosii",2024-01-26,180400,41,0.728,0.601,5,-4.768,1,0.121,0.379,0,0.11,0.306,144.046,4
Roll over me,Sotzumi Seigoro,2023-04-07,157000,27,0.831,0.495,5,-11.638,0,0.117,0.071,0.834,0.127,0.758,110.005,4
POPPED OUT,GLORYWAVE,2024-01-26,176190,0,0.892,0.904,10,-5.895,0,0.0743,0.005,0.144,0.282,0.803,125.981,4
Marching Band,"Surf Mesa,NITTI",2022-03-25,193548,41,0.773,0.81,5,-6.794,0,0.0371,0.000943,0.0541,0.379,0.343,123.991,4
Love Shy - Subjoi's Tuff Jam Rework,Subjoi,2018-11-16,381764,44,0.823,0.731,5,-8.544,0,0.269,0.537,0.00308,0.154,0.533,121.028,4
Moonlit Breakers (feat. Dijon),"Paul Dally,Dijon",2023-08-23,234681,40,0.739,0.549,4,-8.52,1,0.0483,0.231,0.000455,0.309,0.562,97.017,4
Alone Again,Ferdous,2023-02-24,98181,2,0.789,0.499,1,-7.949,1,0.055,0.342,0.000854,0.129,0.852,87.957,4
How many miles,Mk.gee,2023-08-11,141236,38,0.76,0.412,5,-9.087,1,0.0441,0.845,0.404,0.0904,0.526,137.987,4
Candy,Mk.gee,2023-08-11,174824,36,0.76,0.521,2,-6.68,1,0.0446,0.903,0.0303,0.403,0.773,113.724,4
Are You Looking Up,Mk.gee,2023-10-20,166179,43,0.653,0.513,11,-8.972,1,0.0724,0.964,0.693,0.148,0.844,153.683,4
Clubbed to Death - Kurayamino Variation,Rob Dougan,1995,447426,46,0.377,0.65,2,-10.277,0,0.0284,0.0115,0.82,0.346,0.0988,101.585,4
Something Good,S. Fidelity,2021-04-09,172849,32,0.723,0.442,6,-10.255,0,0.245,0.0133,0.835,0.0654,0.627,118.986,4
Fifteen Minutes,"Posij,Tzar",2020-12-04,170044,38,0.659,0.713,8,-5.917,0,0.0379,0.015,0.0247,0.187,0.355,125.937,4
A Love International,Khruangbin,2024-01-16,255100,47,0.569,0.502,0,-10.571,0,0.0334,0.0111,0.833,0.612,0.788,100.206,4
Dumbest Girl Alive,100 gecs,2023-03-17,137440,58,0.625,0.773,9,-4.809,0,0.178,0.00671,0,0.143,0.258,150.018,4
Dancing in the Moonlight,King Harvest,1973-01-01,181133,74,0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,4
Joy To The World,Three Dog Night,1970-01-01,220573,64,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,4
Norm,Andy Shauf,2023-02-10,189133,19,0.597,0.247,1,-13.902,1,0.0296,0.768,0.00525,0.108,0.353,72.458,4
Sunset Canyon,"Foxwarren,Andy Shauf,Darryl Kissick",2018-11-30,260090,49,0.672,0.334,1,-10.194,1,0.0322,0.304,0.0637,0.317,0.434,110.205,4
Dawn,"Eliminate,Flux Pavilion,meesh",2024-01-12,223255,35,0.527,0.944,2,-0.669,1,0.358,0.109,0.799,0.4,0.452,172.142,4
"Fallout (with Gus Dapperton, Lil Yachty & Joey Bada$$)","Lyrical Lemonade,Gus Dapperton,Lil Yachty,Joey Bada$$",2024-01-12,217384,44,0.641,0.557,9,-9.131,0,0.0351,0.261,0,0.118,0.589,129.926,3
née-nah,"21 Savage,Travis Scott,Metro Boomin",2024-01-10,220584,66,0.678,0.758,1,-6.524,1,0.227,0.00495,0,0.57,0.318,165.423,4
In The Air,VOLAC,2024-01-05,215433,31,0.792,0.733,7,-8.755,1,0.0482,0.000299,0.016,0.0974,0.357,126.995,4
Twist My W2.0rld,"Raven Artson,St. Panther,Ruby Red",2023-09-28,142590,30,0.856,0.584,0,-3.719,0,0.0408,0.0541,0.000827,0.144,0.412,111.025,4
Yeah,Havana Swim Club,2021-06-11,193480,27,0.569,0.907,3,-5.878,0,0.0363,0.0521,0.427,0.299,0.929,98.017,4
VIRUS - Odd Mob Remix,"GEN.KLOUD,Odd Mob",2021-01-07,184761,65,0.824,0.756,1,-5.272,1,0.0646,0.0135,0.00212,0.0941,0.407,125.967,4
Kids Don't Care,Dim Sum,2021-07-15,175658,28,0.757,0.682,7,-6.787,1,0.112,0.00237,0.0496,0.113,0.601,105.011,4
Brace Yourself,White Cliffs,2020-03-27,214973,38,0.715,0.533,1,-5.527,0,0.0531,0.0385,0.836,0.153,0.712,81.012,4
The Yes Strut,Teams vs. Star Slinger,2011,171946,17,0.711,0.849,8,-8.039,1,0.0528,0.00698,0.645,0.108,0.567,94.987,4
Ron Burgundy,Louis Futon,2021-11-12,181437,26,0.643,0.772,1,-6.687,1,0.0869,0.122,0.289,0.531,0.743,108.066,4
Make Me Wanna,"Babeheaven,Navy Blue",2022-03-18,202761,42,0.683,0.585,11,-8.11,0,0.0302,0.448,0.181,0.102,0.634,91.111,4
It Could Be Nice,Chet Faker,2023-10-06,172333,50,0.644,0.369,1,-10.167,0,0.0315,0.00828,0.776,0.594,0.145,131.447,4
