Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
73zYIhO5CctxAxvdFbgDIS,"5LHRHt1k9lMyONurDHEdrp,5cj0lLjcoR7YOSnhnX0Po5","Freaky Deaky - Sped Up","Freaky Deaky (Sped Up)","Tyga,Doja Cat",2022-02-25,220009,33,spotify:user:12132863200,2023-11-04T03:20:48Z,"hip hop,pop rap,rap,trap,dance pop,pop",0.721,0.615,8,-8.81,1,0.0431,0.0412,0.0000469,0.106,0.255,124.782,4
1HaI4iTFkGQbyEnys6k5kn,"5LHRHt1k9lMyONurDHEdrp,5cj0lLjcoR7YOSnhnX0Po5,6cEuCEZu7PAE9ZSzLLc2oQ","Freaky Deaky - R3HAB Remix","Freaky Deaky (R3HAB Remix)","Tyga,Doja Cat,R3HAB",2022-04-15,140059,52,spotify:user:12132863200,2023-11-04T03:20:50Z,"hip hop,pop rap,rap,trap,dance pop,pop,dutch house,edm,electro house,pop dance,progressive electro house,slap house",0.722,0.939,2,-5.131,1,0.0883,0.00433,0.0795,0.115,0.43,126.014,4
0hquQWY3xvYqN4qtiquniF,"5cj0lLjcoR7YOSnhnX0Po5","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat",2022-05-06,182906,80,spotify:user:12132863200,2023-11-04T03:20:52Z,"dance pop,pop",0.801,0.601,8,-7.574,0,0.255,0.0777,0.0000323,0.145,0.74,159.969,4
49CHpBYoeE9j0QIXy9dKI7,"5cj0lLjcoR7YOSnhnX0Po5,6USMTwO0MNDnKte5a5h0xx","I Don't Do Drugs - Y2K Remix","I Don't Do Drugs (Y2K Remix)","Doja Cat,Y2K",2023-01-20,174876,53,spotify:user:12132863200,2023-11-04T03:20:53Z,"dance pop,pop,pop rap,viral rap",0.566,0.877,5,-6.975,1,0.04,0.0198,0.603,0.0871,0.347,154.007,4
0CrcwVLUe8wzLUIXgjXVZJ,"7tYKF4w9nC0nq9CsPZTHyP,5cj0lLjcoR7YOSnhnX0Po5","Kill Bill (feat. Doja Cat)","Kill Bill (feat. Doja Cat)","SZA,Doja Cat",2023-04-14,175836,73,spotify:user:12132863200,2023-11-04T03:20:54Z,"pop,r&b,rap,dance pop",0.629,0.744,5,-6.124,0,0.0409,0.0769,0.247,0.194,0.451,89.021,4
11xC6P3iKYpFThT6Ce1KdG,"5cj0lLjcoR7YOSnhnX0Po5","Attention","Attention","Doja Cat",2023-06-16,277043,78,spotify:user:12132863200,2023-11-04T03:20:55Z,"dance pop,pop",0.759,0.567,2,-7.911,1,0.248,0.118,0.0278,0.105,0.421,87.981,4
2IGMVunIBsBLtEQyoI1Mu7,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red","Paint The Town Red","Doja Cat",2023-08-04,231750,98,spotify:user:12132863200,2023-11-04T03:21:28Z,"dance pop,pop",0.868,0.538,5,-8.603,1,0.174,0.269,0.00000334,0.0901,0.732,99.968,4
1xemKSmCnH59ze3KX5wwgH,"5cj0lLjcoR7YOSnhnX0Po5","Demons","Demons","Doja Cat",2023-08-31,195573,77,spotify:user:12132863200,2023-11-04T03:21:35Z,"dance pop,pop",0.821,0.341,8,-5.915,1,0.281,0.0000873,0.00746,0.18,0.344,139.885,4
3ORJauxAOuvOmVi0kU26Sp,"5cj0lLjcoR7YOSnhnX0Po5","Demons","Demons + Paint The Town Red","Doja Cat",2023-09-01,195573,64,spotify:user:12132863200,2023-11-04T03:21:36Z,"dance pop,pop",0.831,0.362,1,-6.085,1,0.229,0.000156,0.0162,0.168,0.313,139.941,4
3p4N5ANtLIxL3JDZn6XAi2,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red","Demons + Paint The Town Red","Doja Cat",2023-09-01,231750,60,spotify:user:12132863200,2023-11-04T03:21:36Z,"dance pop,pop",0.868,0.538,5,-8.603,1,0.174,0.269,0.00000334,0.0901,0.732,99.968,4
0Rjj6c6oThmuTeNu3EP3um,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red - Sped Up","Demons + Paint The Town Red","Doja Cat",2023-09-01,210681,64,spotify:user:12132863200,2023-11-04T03:21:36Z,"dance pop,pop",0.887,0.528,9,-8.563,1,0.189,0.258,0.000102,0.1,0.726,109.971,4
6lImMzho2Y8QO4MGcHf2GP,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red - Slowed Down","Demons + Paint The Town Red","Doja Cat",2023-09-01,331071,50,spotify:user:12132863200,2023-11-04T03:21:36Z,"dance pop,pop",0.811,0.335,8,-8.822,0,0.351,0.222,0,0.105,0.345,139.901,4
1Qdy3F7WUDXgdHvt3k0Xx7,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red","Demons + Paint The Town Red","Doja Cat",2023-09-01,231750,51,spotify:user:12132863200,2023-11-04T03:21:36Z,"dance pop,pop",0.841,0.558,2,-8.519,0,0.246,0.255,0.0000065,0.0955,0.746,99.959,4
2c659Cp9exFsgapfBPnD1Y,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red - Instrumental","Demons + Paint The Town Red","Doja Cat",2023-09-01,231750,46,spotify:user:12132863200,2023-11-04T03:21:36Z,"dance pop,pop",0.905,0.389,5,-11.481,1,0.0509,0.22,0.935,0.0956,0.613,100.016,4
3PvChJcbDMKFCQppIRYQo9,"5cj0lLjcoR7YOSnhnX0Po5","Balut","Balut","Doja Cat",2023-09-15,207507,69,spotify:user:12132863200,2023-11-04T03:21:37Z,"dance pop,pop",0.767,0.61,0,-4.545,1,0.177,0.165,0.0939,0.186,0.415,148.129,4
7DlZH8EiVDgQXNoj3dnyZC,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red","Scarlet","Doja Cat",2023-09-22,230480,83,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.864,0.556,2,-7.683,0,0.194,0.255,0.00000385,0.112,0.726,99.974,4
6vb4kCEIM7zrwuHlxFbfeB,"5cj0lLjcoR7YOSnhnX0Po5","Demons","Scarlet","Doja Cat",2023-09-22,195573,74,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.831,0.362,1,-6.085,1,0.229,0.000156,0.0162,0.168,0.313,139.941,4
5MqauQV2PhcEFfhKtBOTua,"5cj0lLjcoR7YOSnhnX0Po5","Wet Vagina","Scarlet","Doja Cat",2023-09-22,192240,74,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.804,0.656,6,-5.723,0,0.0896,0.0207,0.0000186,0.107,0.192,150.014,4
6DOphQTeNmy1gk3um8sPYC,"5cj0lLjcoR7YOSnhnX0Po5","Fuck The Girls (FTG)","Scarlet","Doja Cat",2023-09-22,152866,73,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.764,0.72,7,-6.494,1,0.273,0.196,0.0000346,0.111,0.643,91.337,4
18EGw1StZNDftpUcX8PM74,"5cj0lLjcoR7YOSnhnX0Po5","Ouchies","Scarlet","Doja Cat",2023-09-22,122186,74,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.854,0.808,1,-5.958,1,0.139,0.0194,0.00000241,0.108,0.794,110.203,4
3zLwDjumhvIFFwAAZaDNPL,"5cj0lLjcoR7YOSnhnX0Po5","97","Scarlet","Doja Cat",2023-09-22,177666,72,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.564,0.796,5,-2.652,0,0.351,0.184,0,0.147,0.864,153.586,4
15sNe8FD178zMsVz6ug0AS,"5cj0lLjcoR7YOSnhnX0Po5","Gun","Scarlet","Doja Cat",2023-09-22,176840,77,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.885,0.576,10,-7.17,0,0.238,0.0695,0.000235,0.0993,0.805,76.004,4
032UZ3KVrzII6AE9Abnj7z,"5cj0lLjcoR7YOSnhnX0Po5","Go Off","Scarlet","Doja Cat",2023-09-22,197493,75,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.933,0.533,5,-8,0,0.0585,0.027,0.00416,0.118,0.552,140.991,4
4rjQxlKAIXbEqHzjrnYZ7x,"5cj0lLjcoR7YOSnhnX0Po5","Shutcho","Scarlet","Doja Cat",2023-09-22,187400,73,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.763,0.441,1,-9.043,1,0.11,0.0343,0,0.132,0.409,145.926,4
7dJYggqjKo71KI9sLzqCs8,"5cj0lLjcoR7YOSnhnX0Po5","Agora Hills","Scarlet","Doja Cat",2023-09-22,265360,91,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.75,0.674,8,-6.128,0,0.097,0.228,0.0000891,0.122,0.392,123.026,4
5ZyQqAgrPr0cVm0VfM69Np,"5cj0lLjcoR7YOSnhnX0Po5","Can't Wait","Scarlet","Doja Cat",2023-09-22,235360,74,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.472,0.79,6,-4.337,0,0.322,0.286,0.00000345,0.0636,0.815,77.908,4
18dR6VljfkTb47HJOQ9chv,"5cj0lLjcoR7YOSnhnX0Po5","Often","Scarlet","Doja Cat",2023-09-22,198106,70,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.509,0.638,9,-5.516,1,0.475,0.554,0.108,0.11,0.593,171.817,4
4NW3t9GA7CyBisyoROefUs,"5cj0lLjcoR7YOSnhnX0Po5","Love Life","Scarlet","Doja Cat",2023-09-22,236960,69,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.597,0.622,1,-9.593,1,0.343,0.616,0.00299,0.121,0.649,82.361,4
3qefkziLSTq2l5H1bRoea8,"5cj0lLjcoR7YOSnhnX0Po5","Skull And Bones","Scarlet","Doja Cat",2023-09-22,248440,70,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.632,0.706,11,-6.127,0,0.0987,0.106,0.0000509,0.143,0.501,85,4
56uOalQCSny79UjPrefkHy,"5cj0lLjcoR7YOSnhnX0Po5","Attention","Scarlet","Doja Cat",2023-09-22,275506,70,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.758,0.587,2,-6.932,1,0.244,0.13,0.0173,0.109,0.395,87.997,4
3yeVb5di44wD6CZ2sJromR,"5cj0lLjcoR7YOSnhnX0Po5","Balut","Scarlet","Doja Cat",2023-09-22,205453,68,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.778,0.626,0,-4.329,1,0.161,0.183,0.127,0.177,0.377,148.022,4
1qimDZEBflJE25RXkF24Yg,"5cj0lLjcoR7YOSnhnX0Po5","WYM Freestyle","Scarlet","Doja Cat",2023-09-22,124106,70,spotify:user:12132863200,2023-11-04T03:21:38Z,"dance pop,pop",0.895,0.486,1,-5.937,1,0.273,0.00449,0.00733,0.119,0.375,144.064,4
34ZAzO78a5DAVNrYIGWcPm,"7tYKF4w9nC0nq9CsPZTHyP","Shirt","Shirt","SZA",2022-10-28,181830,73,spotify:user:12132863200,2023-11-04T03:26:51Z,"pop,r&b,rap",0.824,0.453,3,-9.604,0,0.0968,0.146,0.0273,0.0896,0.552,119.959,4
