Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
18HOjcvTVV7W8YzBuOsAPS,"4q3ewBCX7sLwd24euuV69X","Un Verano Sin Ti","Un Verano Sin Ti","Bad Bunny",2022-05-06,148143,78,spotify:user:12132863200,2023-11-04T03:13:58Z,"reggaeton,trap latino,urbano latino",0.503,0.496,5,-9.123,0,0.0556,0.693,0,0.123,0.412,187.844,4
0wihfILRNOwE2156Shezc8,"4q3ewBCX7sLwd24euuV69X","Agosto","Un Verano Sin Ti","Bad Bunny",2022-05-06,139041,77,spotify:user:12132863200,2023-11-04T03:13:58Z,"reggaeton,trap latino,urbano latino",0.849,0.584,1,-8.195,0,0.115,0.0929,0.00000618,0.492,0.724,115.018,4
71wFwRo8xGc4lrcyKwsvba,"4q3ewBCX7sLwd24euuV69X,0GM7qgcRCORpGnfcN2tCiB","Callaita","Un Verano Sin Ti","Bad Bunny,Tainy",2022-05-06,250533,78,spotify:user:12132863200,2023-11-04T03:13:58Z,"reggaeton,trap latino,urbano latino,pop reggaeton",0.608,0.626,2,-4.773,1,0.301,0.597,0.00000216,0.25,0.246,176.086,4
5MxFWjuqQIsbNWbMdMdbli,"4SsVbpTthjScTS7U2hmr1X,4q3ewBCX7sLwd24euuV69X","La Jumpa","La Jumpa","Arcángel,Bad Bunny",2022-11-30,255693,80,spotify:user:12132863200,2023-11-04T03:14:00Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.713,0.703,8,-5.769,1,0.194,0.298,0,0.321,0.576,123.06,4
54ELExv56KCAB4UP9cOCzC,"12vb80Km0Ew53ABfJOepVz,4q3ewBCX7sLwd24euuV69X","Gato de Noche","Gato de Noche","Ñengo Flow,Bad Bunny",2022-12-22,227013,84,spotify:user:12132863200,2023-11-04T03:14:01Z,"reggaeton,trap latino,urbano latino",0.892,0.662,8,-3.894,1,0.162,0.169,0.00000124,0.363,0.607,93.976,4
6pD0ufEQq0xdHSsRbg9LBK,"6XkjpgcEsYab502Vr1bBeW,4q3ewBCX7sLwd24euuV69X","un x100to","un x100to","Grupo Frontera,Bad Bunny",2023-04-17,194563,89,spotify:user:12132863200,2023-11-04T03:14:05Z,"musica chihuahuense,reggaeton,trap latino,urbano latino",0.569,0.724,6,-4.076,0,0.0474,0.228,0,0.27,0.562,83.118,4
7ro0hRteUMfnOioTFI5TG1,"4q3ewBCX7sLwd24euuV69X","WHERE SHE GOES","WHERE SHE GOES","Bad Bunny",2023-05-18,231704,91,spotify:user:12132863200,2023-11-04T03:14:06Z,"reggaeton,trap latino,urbano latino",0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,4
5L3ecxQnQ9qTBmnLQiwf0C,"0Y5tJX1MQlPlqiwlOH1tJY,4q3ewBCX7sLwd24euuV69X,1Xyo4u8uXC1ZmMpatF05PJ","K-POP","K-POP","Travis Scott,Bad Bunny,The Weeknd",2023-07-21,185220,85,spotify:user:12132863200,2023-11-04T03:14:07Z,"hip hop,rap,slap house,reggaeton,trap latino,urbano latino,canadian contemporary r&b,canadian pop,pop",0.814,0.618,5,-5.614,0,0.0619,0.0386,0.00000334,0.671,0.535,121.075,4
63ui2w3QJBp8xx0c1MJB2Z,"4q3ewBCX7sLwd24euuV69X","UN PREVIEW","UN PREVIEW","Bad Bunny",2023-09-25,165582,91,spotify:user:12132863200,2023-11-04T03:14:08Z,"reggaeton,trap latino,urbano latino",0.786,0.814,1,-3.318,1,0.0873,0.0383,0.0000367,0.22,0.365,95.084,4
23d8v6tU6lR77pFKsApMtF,"4q3ewBCX7sLwd24euuV69X","NADIE SABE","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,379058,89,spotify:user:12132863200,2023-11-04T03:14:09Z,"reggaeton,trap latino,urbano latino",0.529,0.711,11,-5.016,0,0.0669,0.572,0,0.0799,0.582,170.305,4
4MjDJD8cW7iVeWInc2Bdyj,"4q3ewBCX7sLwd24euuV69X","MONACO","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,267194,98,spotify:user:12132863200,2023-11-04T03:14:09Z,"reggaeton,trap latino,urbano latino",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
3nNmRE0DxHC6ZaKkrpUumS,"4q3ewBCX7sLwd24euuV69X,3qsKSpcV3ncke3hw52JSMB","FINA","nadie sabe lo que va a pasar mañana","Bad Bunny,Young Miko",2023-10-13,216327,93,spotify:user:12132863200,2023-11-04T03:14:09Z,"reggaeton,trap latino,urbano latino",0.847,0.724,1,-5.41,1,0.298,0.0869,0.00000111,0.118,0.396,94.601,4
4qSEvFGCpde73gqIuq3sho,"4q3ewBCX7sLwd24euuV69X,0Q8NcsJwoCbZOHHW63su5S","HIBIKI","nadie sabe lo que va a pasar mañana","Bad Bunny,Mora",2023-10-13,208000,92,spotify:user:12132863200,2023-11-04T03:14:09Z,"reggaeton,trap latino,urbano latino",0.801,0.645,6,-5.605,0,0.0706,0.604,0,0.118,0.528,119.935,4
1ODFVLQszq0hCOdZtqV5wq,"4q3ewBCX7sLwd24euuV69X","MR. OCTOBER","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,189258,89,spotify:user:12132863200,2023-11-04T03:14:09Z,"reggaeton,trap latino,urbano latino",0.805,0.612,8,-5.682,0,0.172,0.188,0.0000196,0.134,0.425,126.013,4
